race,sex,marital,educ,age,expdesgn,odds1,odds2,earthsun,viruses,condrift,evolved,radioact,hotcore,boyorgrl,electron,bigbang,lasers,bibrev,evolvedrev,bigbangrev,female,married,race_black,race_other
1,2,1,13,37,1,1,1,0,1,1,1,1,1,0,0,1,0,1,0,0,1,1,0,0
1,2,1,12,59,0,1,1,0,1,1,0,1,0,1,0,1,0,2,1,0,1,1,0,0
1,1,5,12,21,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0
1,2,1,17,31,0,1,1,0,1,0,0,1,1,1,1,0,0,2,1,1,1,1,0,0
1,2,1,12,51,0,0,0,0,1,0,1,1,1,0,1,0,1,1,0,1,1,1,0,0
1,1,1,16,40,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0
1,2,2,10,87,0,1,1,1,0,1,0,1,1,1,1,0,0,3,1,1,1,0,0,0
2,2,1,14,52,1,1,1,0,1,1,0,0,1,1,1,0,0,3,1,1,1,1,1,0
1,2,1,16,24,1,1,1,1,1,1,0,0,1,1,1,1,1,3,1,0,1,1,0,0
2,1,5,11,23,0,1,1,1,0,1,0,0,1,0,1,0,0,3,1,1,0,0,1,0
2,1,5,16,48,0,1,1,1,0,1,0,1,1,1,1,1,0,2,1,0,0,0,1,0
2,2,3,14,47,0,0,1,0,1,1,0,1,1,0,0,0,0,2,1,1,1,0,1,0
1,1,1,19,49,1,1,1,1,1,1,1,1,1,0,1,0,1,2,0,1,0,1,0,0
2,2,1,14,50,0,1,1,1,0,1,0,0,0,1,0,0,0,3,1,1,1,1,1,0
1,1,3,16,51,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
1,2,5,16,23,1,1,0,1,1,1,0,1,1,1,1,0,1,2,1,1,1,0,0,0
1,2,1,12,44,0,1,1,1,0,0,0,1,1,0,1,0,1,3,1,1,1,1,0,0
1,2,3,15,50,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0
